43,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,41
43,123,124,123,124,123,124,123,124,162,122,123,124,122,123,124,123,124,124,122,123,122,123,124,123,124,123,124,122,123,124,142,142,122,123,124,124,122,123,41
43,122,123,124,124,123,124,123,124,124,122,123,124,122,123,124,123,124,124,122,123,122,123,124,123,124,123,124,122,123,124,162,162,122,123,124,144,124,123,219
43,122,123,124,124,123,210,123,124,124,122,123,124,122,123,124,123,124,210,124,122,122,123,124,123,124,123,124,142,122,210,124,123,122,123,124,124,124,124,174
43,122,123,124,124,123,177,123,124,124,122,177,177,122,123,124,123,124,177,144,142,142,122,123,177,124,123,124,162,122,177,124,123,122,123,124,124,31,32,33
43,122,123,124,124,123,124,123,124,124,122,123,124,122,123,124,123,124,124,164,162,162,122,122,123,124,122,123,124,122,123,124,122,123,124,144,124,51,52,53
43,122,123,124,144,109,110,111,124,124,122,109,111,107,123,124,123,109,110,111,162,163,142,109,110,111,124,123,124,109,110,111,122,123,109,110,110,62,62,63
110,111,122,123,124,123,124,123,124,144,124,123,124,122,123,124,123,124,124,164,124,163,162,142,122,122,123,124,124,122,123,124,122,123,124,164,124,124,124,41
43,162,177,123,124,123,124,123,124,164,177,122,122,122,122,122,122,122,177,122,122,122,123,124,142,122,177,123,124,122,123,122,123,124,144,164,144,144,124,41
43,164,169,123,124,124,124,122,123,122,122,142,142,142,142,142,142,142,169,142,142,142,122,122,123,124,122,123,124,122,123,122,210,124,164,163,164,164,124,41
101,102,103,104,105,144,124,122,101,102,103,104,105,162,162,162,101,102,103,104,105,162,142,142,101,102,103,104,105,122,123,122,177,124,162,163,164,164,124,41
121,122,123,124,125,164,124,122,121,122,123,124,125,124,124,164,121,122,123,124,125,163,162,162,121,122,123,124,125,124,123,122,123,124,162,163,164,122,123,41
141,142,143,144,145,164,124,142,141,142,143,144,145,124,124,164,141,142,143,144,145,124,162,163,141,142,143,144,145,124,122,31,32,33,162,163,164,122,123,41
161,162,163,164,165,164,124,162,161,162,163,164,165,124,124,164,161,162,163,164,165,144,162,163,161,162,163,164,165,123,124,51,52,53,162,163,164,122,123,41
181,182,183,184,185,164,124,162,181,182,183,184,185,124,124,164,181,182,183,184,185,164,162,163,181,182,183,184,185,123,124,71,72,73,110,111,164,124,210,41
43,164,142,122,123,124,124,162,163,164,124,164,124,124,124,163,164,124,123,124,163,164,162,163,164,124,124,122,142,122,123,124,124,122,162,163,164,124,177,41
43,164,162,122,123,124,124,162,163,164,144,164,144,123,124,163,164,122,122,122,122,123,162,163,164,144,122,123,162,122,123,124,210,122,162,163,164,124,123,41
43,124,144,122,123,124,123,162,163,164,164,124,164,123,122,122,122,142,142,142,142,122,122,162,122,123,124,124,144,122,123,124,177,122,162,163,164,109,110,111
43,124,164,122,123,124,124,124,162,163,164,144,124,122,142,142,122,122,122,122,122,123,124,122,123,124,210,144,164,122,123,124,144,142,162,163,164,124,123,41
43,124,164,122,123,124,144,124,122,162,163,164,144,124,124,124,124,142,122,123,124,124,124,124,124,144,177,164,122,122,123,109,110,111,162,163,164,124,123,41
43,123,124,122,123,124,122,122,142,162,163,164,164,144,144,144,144,124,124,124,210,144,144,144,144,164,124,142,122,123,124,144,122,162,162,163,164,124,123,41
43,123,124,122,122,122,142,142,162,162,163,162,163,164,164,164,164,144,144,144,177,164,164,164,164,109,110,111,122,123,124,164,142,162,162,163,164,124,123,41
43,124,124,122,142,142,162,162,122,122,122,142,122,162,162,162,163,164,164,164,163,164,162,162,162,163,164,122,123,124,144,124,162,163,162,163,164,124,123,41
43,124,122,122,162,162,122,122,142,142,142,122,142,162,163,122,162,163,164,109,110,111,164,142,122,122,123,124,124,144,164,144,162,163,162,163,164,144,123,41
43,122,142,142,162,122,142,142,162,162,122,142,162,163,164,142,162,163,164,163,164,123,124,122,123,142,143,144,144,164,124,164,162,163,164,162,163,164,123,41
43,142,162,162,163,142,162,162,163,143,143,143,169,163,164,162,163,164,163,164,124,122,122,123,122,162,163,164,164,144,124,142,162,163,164,162,163,164,124,41
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,33,164,124,124,122,123,124,122,142,122,122,162,163,164,144,162,162,163,164,162,163,164,124,41
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,53,164,144,124,124,124,124,142,122,142,142,162,163,164,164,122,162,163,164,162,163,164,124,41
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,73,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,41
43,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,41
